;Winning rate;Losing rate;Maximum gain;Maximum loss;Average gain;Average loss;Expectancy
39;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
38;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
37;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
36;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
35;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
34;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
33;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
32;48.43408594;51.56591406;2.737521537;-2.014050505;;0;
23;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
22;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
21;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
20;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
19;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
18;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
17;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
16;48.50691916;51.49308084;1.214448959;-0.600185857;;0;
0;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
1;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
3;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
4;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
5;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
6;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
7;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
2;48.94391843;51.05608157;1.206442171;-0.780919806;;0;
40;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
47;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
46;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
41;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
42;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
43;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
44;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
45;49.63680387;50.36319613;1.713530669;-2.86037702;;0;
26;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
27;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
24;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
29;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
30;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
31;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
25;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
28;50.20177563;49.79822437;1.143277438;-1.215948173;;0;
14;51.97740113;48.02259887;1.139071631;-1.692249673;;;
9;51.97740113;48.02259887;1.139071631;-1.692249673;;;
10;51.97740113;48.02259887;1.139071631;-1.692249673;;;
11;51.97740113;48.02259887;1.139071631;-1.692249673;;;
12;51.97740113;48.02259887;1.139071631;-1.692249673;;;
13;51.97740113;48.02259887;1.139071631;-1.692249673;;;
15;51.97740113;48.02259887;1.139071631;-1.692249673;;;
8;51.97740113;48.02259887;1.139071631;-1.692249673;;;
